,time,open,high,low,close,tick_volume,spread,real_volume
0,2021.10.12 13:15,1.66192,1.66207,1.66092,1.66093,621,0,0
1,2021.10.12 13:30,1.66091,1.66118,1.65877,1.65906,650,0,0
2,2021.10.12 13:45,1.6591,1.65913,1.65745,1.65781,594,0,0
3,2021.10.12 14:00,1.65775,1.65914,1.65767,1.65834,619,0,0
4,2021.10.12 14:15,1.6583,1.65848,1.65763,1.65825,615,0,0
5,2021.10.12 14:30,1.65827,1.65919,1.65815,1.65908,466,0,0
6,2021.10.12 14:45,1.65905,1.65934,1.65831,1.65869,614,0,0
7,2021.10.12 15:00,1.65872,1.65939,1.65871,1.65913,723,0,0
8,2021.10.12 15:15,1.65911,1.65925,1.65804,1.65902,789,0,0
9,2021.10.12 15:30,1.65899,1.66062,1.65846,1.66026,1142,0,0
10,2021.10.12 15:45,1.66031,1.66278,1.66031,1.66223,910,0,0
11,2021.10.12 16:00,1.66224,1.66317,1.66144,1.66163,955,0,0
12,2021.10.12 16:15,1.66166,1.66189,1.66105,1.66142,796,0,0
13,2021.10.12 16:30,1.66141,1.66265,1.66093,1.66255,1517,0,0
14,2021.10.12 16:45,1.66256,1.66328,1.66125,1.66239,1561,0,0
15,2021.10.12 17:00,1.66236,1.66316,1.66139,1.6627,1317,0,0
16,2021.10.12 17:15,1.66267,1.6657,1.66229,1.66453,1286,0,0
17,2021.10.12 17:30,1.66453,1.66566,1.6643,1.66533,900,0,0
18,2021.10.12 17:45,1.66536,1.66544,1.66423,1.66495,991,0,0
19,2021.10.12 18:00,1.66488,1.66489,1.66275,1.66304,958,0,0
20,2021.10.12 18:15,1.6631,1.66339,1.66233,1.66256,663,0,0
21,2021.10.12 18:30,1.66256,1.66264,1.66187,1.66246,791,0,0
22,2021.10.12 18:45,1.66244,1.6627,1.6617,1.66176,568,0,0
23,2021.10.12 19:00,1.66171,1.66202,1.66133,1.662,550,0,0
24,2021.10.12 19:15,1.66194,1.66224,1.66172,1.66201,380,0,0
25,2021.10.12 19:30,1.66204,1.66244,1.66179,1.66188,413,0,0
26,2021.10.12 19:45,1.66197,1.66221,1.66141,1.66145,456,0,0
27,2021.10.12 20:00,1.6615,1.66236,1.66143,1.66229,498,0,0
28,2021.10.12 20:15,1.66229,1.66281,1.66203,1.66248,444,0,0
29,2021.10.12 20:30,1.66255,1.6626,1.66173,1.662,330,0,0
30,2021.10.12 20:45,1.66197,1.66202,1.6608,1.6608,362,0,0
31,2021.10.12 21:00,1.66139,1.66233,1.66073,1.66132,499,0,0
32,2021.10.12 21:15,1.6613,1.66202,1.66107,1.66185,366,0,0
